Freq.	V(vo)
1.52405275379728e+001	(-9.43023932112526e+000dB,6.58673933815547e+001°)
1.52756605823806e+001	(-9.41423729452083e+000dB,6.58191778372283e+001°)
1.53108746168202e+001	(-9.39824659261612e+000dB,6.57709126411139e+001°)
1.53461698279928e+001	(-9.38226723723880e+000dB,6.57225977877254e+001°)
1.53815464030302e+001	(-9.36629925025746e+000dB,6.56742332718039e+001°)
1.54170045294954e+001	(-9.35034265358209e+000dB,6.56258190883200e+001°)
1.54525443953840e+001	(-9.33439746916401e+000dB,6.55773552324760e+001°)
1.54881661891247e+001	(-9.31846371899642e+000dB,6.55288416997095e+001°)
1.55238700995807e+001	(-9.30254142511451e+000dB,6.54802784856929e+001°)
1.55596563160506e+001	(-9.28663060959567e+000dB,6.54316655863390e+001°)
1.55955250282694e+001	(-9.27073129455990e+000dB,6.53830029978003e+001°)
1.56314764264094e+001	(-9.25484350216980e+000dB,6.53342907164741e+001°)
1.56675107010813e+001	(-9.23896725463112e+000dB,6.52855287390032e+001°)
1.57036280433354e+001	(-9.22310257419272e+000dB,6.52367170622789e+001°)
1.57398286446620e+001	(-9.20724948314706e+000dB,6.51878556834442e+001°)
1.57761126969933e+001	(-9.19140800383021e+000dB,6.51389445998944e+001°)
1.58124803927037e+001	(-9.17557815862220e+000dB,6.50899838092826e+001°)
1.58489319246110e+001	(-9.15975996994728e+000dB,6.50409733095190e+001°)
1.58854674859776e+001	(-9.14395346027408e+000dB,6.49919130987763e+001°)
1.59220872705115e+001	(-9.12815865211586e+000dB,6.49428031754911e+001°)
1.59587914723672e+001	(-9.11237556803076e+000dB,6.48936435383666e+001°)
1.59955802861465e+001	(-9.09660423062197e+000dB,6.48444341863757e+001°)
1.60324539069002e+001	(-9.08084466253801e+000dB,6.47951751187634e+001°)
1.60694125301286e+001	(-9.06509688647293e+000dB,6.47458663350500e+001°)
1.61064563517825e+001	(-9.04936092516641e+000dB,6.46965078350335e+001°)
1.61435855682647e+001	(-9.03363680140424e+000dB,6.46470996187934e+001°)
1.61808003764305e+001	(-9.01792453801823e+000dB,6.45976416866919e+001°)
1.62181009735891e+001	(-9.00222415788659e+000dB,6.45481340393791e+001°)
1.62554875575047e+001	(-8.98653568393408e+000dB,6.44985766777934e+001°)
1.62929603263970e+001	(-8.97085913913223e+000dB,6.44489696031670e+001°)
1.63305194789432e+001	(-8.95519454649951e+000dB,6.43993128170270e+001°)
1.63681652142779e+001	(-8.93954192910156e+000dB,6.43496063211997e+001°)
1.64058977319952e+001	(-8.92390131005123e+000dB,6.42998501178132e+001°)
1.64437172321491e+001	(-8.90827271250913e+000dB,6.42500442093000e+001°)
1.64816239152549e+001	(-8.89265615968333e+000dB,6.42001885984020e+001°)
1.65196179822900e+001	(-8.87705167482991e+000dB,6.41502832881709e+001°)
1.65576996346951e+001	(-8.86145928125297e+000dB,6.41003282819738e+001°)
1.65958690743754e+001	(-8.84587900230489e+000dB,6.40503235834959e+001°)
1.66341265037015e+001	(-8.83031086138627e+000dB,6.40002691967427e+001°)
1.66724721255104e+001	(-8.81475488194652e+000dB,6.39501651260444e+001°)
1.67109061431069e+001	(-8.79921108748356e+000dB,6.39000113760594e+001°)
1.67494287602642e+001	(-8.78367950154429e+000dB,6.38498079517767e+001°)
1.67880401812254e+001	(-8.76816014772460e+000dB,6.37995548585201e+001°)
1.68267406107045e+001	(-8.75265304966954e+000dB,6.37492521019512e+001°)
1.68655302538872e+001	(-8.73715823107352e+000dB,6.36988996880735e+001°)
1.69044093164324e+001	(-8.72167571568033e+000dB,6.36484976232350e+001°)
1.69433780044731e+001	(-8.70620552728345e+000dB,6.35980459141324e+001°)
1.69824365246172e+001	(-8.69074768972601e+000dB,6.35475445678143e+001°)
1.70215850839493e+001	(-8.67530222690104e+000dB,6.34969935916849e+001°)
1.70608238900310e+001	(-8.65986916275140e+000dB,6.34463929935085e+001°)
1.71001531509027e+001	(-8.64444852127026e+000dB,6.33957427814110e+001°)
1.71395730750841e+001	(-8.62904032650084e+000dB,6.33450429638854e+001°)
1.71790838715757e+001	(-8.61364460253669e+000dB,6.32942935497957e+001°)
1.72186857498599e+001	(-8.59826137352178e+000dB,6.32434945483787e+001°)
1.72583789199018e+001	(-8.58289066365059e+000dB,6.31926459692495e+001°)
1.72981635921508e+001	(-8.56753249716821e+000dB,6.31417478224053e+001°)
1.73380399775412e+001	(-8.55218689837045e+000dB,6.30908001182281e+001°)
1.73780082874935e+001	(-8.53685389160384e+000dB,6.30398028674889e+001°)
1.74180687339159e+001	(-8.52153350126575e+000dB,6.29887560813524e+001°)
1.74582215292048e+001	(-8.50622575180461e+000dB,6.29376597713796e+001°)
1.74984668862464e+001	(-8.49093066771964e+000dB,6.28865139495334e+001°)
1.75388050184174e+001	(-8.47564827356136e+000dB,6.28353186281805e+001°)
1.75792361395867e+001	(-8.46037859393112e+000dB,6.27840738200968e+001°)
1.76197604641161e+001	(-8.44512165348176e+000dB,6.27327795384714e+001°)
1.76603782068614e+001	(-8.42987747691711e+000dB,6.26814357969098e+001°)
1.77010895831740e+001	(-8.41464608899231e+000dB,6.26300426094383e+001°)
1.77418948089014e+001	(-8.39942751451387e+000dB,6.25785999905087e+001°)
1.77827941003890e+001	(-8.38422177833951e+000dB,6.25271079550013e+001°)
1.78237876744807e+001	(-8.36902890537836e+000dB,6.24755665182298e+001°)
1.78648757485203e+001	(-8.35384892059096e+000dB,6.24239756959455e+001°)
1.79060585403527e+001	(-8.33868184898915e+000dB,6.23723355043410e+001°)
1.79473362683250e+001	(-8.32352771563622e+000dB,6.23206459600542e+001°)
1.79887091512877e+001	(-8.30838654564681e+000dB,6.22689070801736e+001°)
1.80301774085955e+001	(-8.29325836418696e+000dB,6.22171188822413e+001°)
1.80717412601090e+001	(-8.27814319647411e+000dB,6.21652813842582e+001°)
1.81134009261958e+001	(-8.26304106777704e+000dB,6.21133946046876e+001°)
1.81551566277311e+001	(-8.24795200341585e+000dB,6.20614585624595e+001°)
1.81970085860996e+001	(-8.23287602876197e+000dB,6.20094732769757e+001°)
1.82389570231961e+001	(-8.21781316923810e+000dB,6.19574387681136e+001°)
1.82810021614272e+001	(-8.20276345031816e+000dB,6.19053550562303e+001°)
1.83231442237119e+001	(-8.18772689752726e+000dB,6.18532221621677e+001°)
