Freq.	V(vo)
9.54992586021430e+003	(-7.70285359421664e-002dB,9.63599272015836e-002°)
9.77237220955804e+003	(-7.70280372857178e-002dB,9.41665108100533e-002°)
9.99999999999993e+003	(-7.70275610724552e-002dB,9.20230224457105e-002°)
1.02329299228075e+004	(-7.70271062922719e-002dB,8.99283256278838e-002°)
1.04712854805089e+004	(-7.70266719805287e-002dB,8.78813097365600e-002°)
1.07151930523760e+004	(-7.70262572159957e-002dB,8.58808894327194e-002°)
1.09647819614318e+004	(-7.70258611189125e-002dB,8.39260040860462e-002°)
1.12201845430196e+004	(-7.70254828490968e-002dB,8.20156172052893e-002°)
1.14815362149688e+004	(-7.70251216041999e-002dB,8.01487158916089e-002°)
1.17489755493952e+004	(-7.70247766179766e-002dB,7.83243103033604e-002°)
1.20226443461740e+004	(-7.70244471586660e-002dB,7.65414331256606e-002°)
1.23026877081237e+004	(-7.70241325274444e-002dB,7.47991390704490e-002°)
1.25892541179416e+004	(-7.70238320569426e-002dB,7.30965043555600e-002°)
1.28824955169313e+004	(-7.70235451098230e-002dB,7.14326262352499e-002°)
1.31825673855640e+004	(-7.70232710774360e-002dB,6.98066225077954e-002°)
1.34896288259164e+004	(-7.70230093785183e-002dB,6.82176310543049e-002°)
1.38038426460288e+004	(-7.70227594579836e-002dB,6.66648093761681e-002°)
1.41253754462274e+004	(-7.70225207857120e-002dB,6.51473341556930e-002°)
1.44543977074592e+004	(-7.70222928554503e-002dB,6.36644008153743e-002°)
1.47910838816820e+004	(-7.70220751837289e-002dB,6.22152230892454e-002°)
1.51356124843620e+004	(-7.70218673088351e-002dB,6.07990326114280e-002°)
1.54881661891247e+004	(-7.70216687898500e-002dB,5.94150785036399e-002°)
1.58489319246110e+004	(-7.70214792056839e-002dB,5.80626269849581e-002°)
1.62181009735892e+004	(-7.70212981542008e-002dB,5.67409609660975e-002°)
1.65958690743755e+004	(-7.70211252513685e-002dB,5.54493796910200e-002°)
1.69824365246173e+004	(-7.70209601304428e-002dB,5.41871983489534e-002°)
1.73780082874936e+004	(-7.70208024411779e-002dB,5.29537477183887e-002°)
1.77827941003891e+004	(-7.70206518490879e-002dB,5.17483738147829e-002°)
1.81970085860997e+004	(-7.70205080347639e-002dB,5.05704375308426e-002°)
1.86208713666285e+004	(-7.70203706931426e-002dB,4.94193143180345e-002°)
1.90546071796323e+004	(-7.70202395329054e-002dB,4.82943938375567e-002°)
1.94984459975803e+004	(-7.70201142758505e-002dB,4.71950796409849e-002°)
1.99526231496887e+004	(-7.70199946562876e-002dB,4.61207888635924e-002°)
2.04173794466951e+004	(-7.70198804204868e-002dB,4.50709519043991e-002°)
2.08929613085402e+004	(-7.70197713261440e-002dB,4.40450121247003e-002°)
2.13796208950222e+004	(-7.70196671418528e-002dB,4.30424255659348e-002°)
2.18776162394954e+004	(-7.70195676466267e-002dB,4.20626606408439e-002°)
2.23872113856832e+004	(-7.70194726294158e-002dB,4.11051978703404e-002°)
2.29086765276776e+004	(-7.70193818886928e-002dB,4.01695295905672e-002°)
2.34422881531990e+004	(-7.70192952319603e-002dB,3.92551597063546e-002°)
2.39883291901947e+004	(-7.70192124754324e-002dB,3.83616034038139e-002°)
2.45470891568501e+004	(-7.70191334435539e-002dB,3.74883869155851e-002°)
2.51188643150956e+004	(-7.70190579686991e-002dB,3.66350472441092e-002°)
2.57039578276884e+004	(-7.70189858907676e-002dB,3.58011319401588e-002°)
2.63026799189536e+004	(-7.70189170568793e-002dB,3.49861988562503e-002°)
2.69153480392689e+004	(-7.70188513210246e-002dB,3.41898159015643e-002°)
2.75422870333814e+004	(-7.70187885437650e-002dB,3.34115608274708e-002°)
2.81838293126443e+004	(-7.70187285919530e-002dB,3.26510209871903e-002°)
2.88403150312658e+004	(-7.70186713384138e-002dB,3.19077931424874e-002°)
2.95120922666636e+004	(-7.70186166617041e-002dB,3.11814832182307e-002°)
3.01995172040199e+004	(-7.70185644458570e-002dB,3.04717061187229e-002°)
3.09029543251357e+004	(-7.70185145801080e-002dB,2.97780855122177e-002°)
3.16227766016835e+004	(-7.70184669586883e-002dB,2.91002536274932e-002°)
3.23593656929626e+004	(-7.70184214805839e-002dB,2.84378510788288e-002°)
3.31131121482588e+004	(-7.70183780493311e-002dB,2.77905266397996e-002°)
3.38844156139200e+004	(-7.70183365728035e-002dB,2.71579371022779e-002°)
3.46736850452529e+004	(-7.70182969630279e-002dB,2.65397470548940e-002°)
3.54813389233573e+004	(-7.70182591359892e-002dB,2.59356287297130e-002°)
3.63078054770098e+004	(-7.70182230114422e-002dB,2.53452618090313e-002°)
3.71535229097169e+004	(-7.70181885127716e-002dB,2.47683332760464e-002°)
