Freq.	V(vout)/V(vin)
1.09647819614318e+001	(-1.09897493058713e+002dB,1.79576559986826e+002°)
1.12201845430196e+001	(-1.09497502827335e+002dB,1.79566697103296e+002°)
1.14815362149688e+001	(-1.09097513056314e+002dB,1.79556604505253e+002°)
1.17489755493953e+001	(-1.08697523767344e+002dB,1.79546276843500e+002°)
1.20226443461741e+001	(-1.08297534983142e+002dB,1.79535708644352e+002°)
1.23026877081238e+001	(-1.07897546727493e+002dB,1.79524894306744e+002°)
1.25892541179416e+001	(-1.07497559025305e+002dB,1.79513828099271e+002°)
1.28824955169313e+001	(-1.07097571902658e+002dB,1.79502504157161e+002°)
1.31825673855640e+001	(-1.06697585386861e+002dB,1.79490916479183e+002°)
1.34896288259165e+001	(-1.06297599506511e+002dB,1.79479058924470e+002°)
1.38038426460288e+001	(-1.05897614291550e+002dB,1.79466925209288e+002°)
1.41253754462275e+001	(-1.05497629773334e+002dB,1.79454508903710e+002°)
1.44543977074592e+001	(-1.05097645984694e+002dB,1.79441803428232e+002°)
1.47910838816820e+001	(-1.04697662960006e+002dB,1.79428802050297e+002°)
1.51356124843620e+001	(-1.04297680735271e+002dB,1.79415497880747e+002°)
1.54881661891248e+001	(-1.03897699348180e+002dB,1.79401883870190e+002°)
1.58489319246111e+001	(-1.03497718838205e+002dB,1.79387952805286e+002°)
1.62181009735892e+001	(-1.03097739246673e+002dB,1.79373697304944e+002°)
1.65958690743755e+001	(-1.02697760616861e+002dB,1.79359109816437e+002°)
1.69824365246174e+001	(-1.02297782994083e+002dB,1.79344182611422e+002°)
1.73780082874937e+001	(-1.01897806425789e+002dB,1.79328907781873e+002°)
1.77827941003892e+001	(-1.01497830961664e+002dB,1.79313277235917e+002°)
1.81970085860998e+001	(-1.01097856653731e+002dB,1.79297282693583e+002°)
1.86208713666286e+001	(-1.00697883556467e+002dB,1.79280915682440e+002°)
1.90546071796324e+001	(-1.00297911726913e+002dB,1.79264167533151e+002°)
1.94984459975804e+001	(-9.98979412247975e+001dB,1.79247029374912e+002°)
1.99526231496887e+001	(-9.94979721126620e+001dB,1.79229492130795e+002°)
2.04173794466952e+001	(-9.90980044559937e+001dB,1.79211546512984e+002°)
2.08929613085403e+001	(-9.86980383233642e+001dB,1.79193183017901e+002°)
2.13796208950222e+001	(-9.82980737865746e+001dB,1.79174391921218e+002°)
2.18776162394954e+001	(-9.78981109208074e+001dB,1.79155163272764e+002°)
2.23872113856833e+001	(-9.74981498047860e+001dB,1.79135486891311e+002°)
2.29086765276776e+001	(-9.70981905209407e+001dB,1.79115352359239e+002°)
2.34422881531991e+001	(-9.66982331555839e+001dB,1.79094749017089e+002°)
2.39883291901948e+001	(-9.62982777990920e+001dB,1.79073665957986e+002°)
2.45470891568502e+001	(-9.58983245460970e+001dB,1.79052092021939e+002°)
2.51188643150957e+001	(-9.54983734956868e+001dB,1.79030015790011e+002°)
