Freq.	V(vo)
1.02400010223669e+001	(-1.23359441915469e+001dB,7.34414109075536e+001°)
1.02423591412156e+001	(-1.23341789127779e+001dB,7.34374244733008e+001°)
1.02447178031037e+001	(-1.23324137134977e+001dB,7.34334375791422e+001°)
1.02470770081564e+001	(-1.23306485937245e+001dB,7.34294502250428e+001°)
1.02494367564986e+001	(-1.23288835534762e+001dB,7.34254624109682e+001°)
1.02517970482555e+001	(-1.23271185927709e+001dB,7.34214741368834e+001°)
1.02541578835522e+001	(-1.23253537116268e+001dB,7.34174854027537e+001°)
1.02565192625140e+001	(-1.23235889100619e+001dB,7.34134962085446e+001°)
1.02588811852660e+001	(-1.23218241880942e+001dB,7.34095065542213e+001°)
1.02612436519333e+001	(-1.23200595457418e+001dB,7.34055164397492e+001°)
1.02636066626414e+001	(-1.23182949830229e+001dB,7.34015258650937e+001°)
1.02659702175155e+001	(-1.23165304999554e+001dB,7.33975348302203e+001°)
1.02683343166808e+001	(-1.23147660965575e+001dB,7.33935433350940e+001°)
1.02706989602627e+001	(-1.23130017728471e+001dB,7.33895513796807e+001°)
1.02730641483867e+001	(-1.23112375288425e+001dB,7.33855589639457e+001°)
1.02754298811780e+001	(-1.23094733645616e+001dB,7.33815660878544e+001°)
1.02777961587622e+001	(-1.23077092800227e+001dB,7.33775727513725e+001°)
1.02801629812646e+001	(-1.23059452752436e+001dB,7.33735789544653e+001°)
1.02825303488109e+001	(-1.23041813502425e+001dB,7.33695846970983e+001°)
1.02848982615264e+001	(-1.23024175050376e+001dB,7.33655899792373e+001°)
1.02872667195367e+001	(-1.23006537396468e+001dB,7.33615948008477e+001°)
1.02896357229675e+001	(-1.22988900540883e+001dB,7.33575991618951e+001°)
1.02920052719442e+001	(-1.22971264483801e+001dB,7.33536030623454e+001°)
1.02943753665926e+001	(-1.22953629225403e+001dB,7.33496065021639e+001°)
1.02967460070382e+001	(-1.22935994765871e+001dB,7.33456094813164e+001°)
1.02991171934069e+001	(-1.22918361105385e+001dB,7.33416119997685e+001°)
1.03014889258243e+001	(-1.22900728244126e+001dB,7.33376140574858e+001°)
1.03038612044161e+001	(-1.22883096182274e+001dB,7.33336156544342e+001°)
1.03062340293081e+001	(-1.22865464920012e+001dB,7.33296167905795e+001°)
1.03086074006262e+001	(-1.22847834457519e+001dB,7.33256174658874e+001°)
1.03109813184961e+001	(-1.22830204794977e+001dB,7.33216176803234e+001°)
1.03133557830437e+001	(-1.22812575932566e+001dB,7.33176174338538e+001°)
1.03157307943950e+001	(-1.22794947870468e+001dB,7.33136167264440e+001°)
1.03181063526758e+001	(-1.22777320608863e+001dB,7.33096155580598e+001°)
1.03204824580121e+001	(-1.22759694147933e+001dB,7.33056139286675e+001°)
1.03228591105299e+001	(-1.22742068487859e+001dB,7.33016118382327e+001°)
1.03252363103551e+001	(-1.22724443628821e+001dB,7.32976092867213e+001°)
1.03276140576139e+001	(-1.22706819571000e+001dB,7.32936062740991e+001°)
1.03299923524322e+001	(-1.22689196314578e+001dB,7.32896028003322e+001°)
1.03323711949362e+001	(-1.22671573859735e+001dB,7.32855988653865e+001°)
1.03347505852520e+001	(-1.22653952206653e+001dB,7.32815944692280e+001°)
1.03371305235057e+001	(-1.22636331355512e+001dB,7.32775896118227e+001°)
1.03395110098236e+001	(-1.22618711306494e+001dB,7.32735842931366e+001°)
1.03418920443318e+001	(-1.22601092059780e+001dB,7.32695785131358e+001°)
1.03442736271566e+001	(-1.22583473615551e+001dB,7.32655722717862e+001°)
1.03466557584243e+001	(-1.22565855973987e+001dB,7.32615655690538e+001°)
1.03490384382611e+001	(-1.22548239135271e+001dB,7.32575584049051e+001°)
1.03514216667933e+001	(-1.22530623099582e+001dB,7.32535507793059e+001°)
1.03538054441474e+001	(-1.22513007867104e+001dB,7.32495426922225e+001°)
1.03561897704498e+001	(-1.22495393438015e+001dB,7.32455341436208e+001°)
1.03585746458267e+001	(-1.22477779812498e+001dB,7.32415251334670e+001°)
1.03609600704047e+001	(-1.22460166990733e+001dB,7.32375156617276e+001°)
1.03633460443103e+001	(-1.22442554972902e+001dB,7.32335057283687e+001°)
1.03657325676699e+001	(-1.22424943759186e+001dB,7.32294953333563e+001°)
1.03681196406101e+001	(-1.22407333349767e+001dB,7.32254844766569e+001°)
1.03705072632575e+001	(-1.22389723744825e+001dB,7.32214731582366e+001°)
1.03728954357386e+001	(-1.22372114944541e+001dB,7.32174613780618e+001°)
1.03752841581800e+001	(-1.22354506949097e+001dB,7.32134491360990e+001°)
1.03776734307084e+001	(-1.22336899758675e+001dB,7.32094364323142e+001°)
1.03800632534505e+001	(-1.22319293373454e+001dB,7.32054232666736e+001°)
1.03824536265330e+001	(-1.22301687793617e+001dB,7.32014096391442e+001°)
1.03848445500826e+001	(-1.22284083019345e+001dB,7.31973955496917e+001°)
1.03872360242261e+001	(-1.22266479050819e+001dB,7.31933809982831e+001°)
1.03896280490902e+001	(-1.22248875888220e+001dB,7.31893659848844e+001°)
1.03920206248019e+001	(-1.22231273531730e+001dB,7.31853505094623e+001°)
1.03944137514879e+001	(-1.22213671981530e+001dB,7.31813345719832e+001°)
1.03968074292751e+001	(-1.22196071237801e+001dB,7.31773181724135e+001°)
1.03992016582905e+001	(-1.22178471300724e+001dB,7.31733013107197e+001°)
1.04015964386609e+001	(-1.22160872170482e+001dB,7.31692839868685e+001°)
1.04039917705134e+001	(-1.22143273847254e+001dB,7.31652662008263e+001°)
1.04063876539749e+001	(-1.22125676331223e+001dB,7.31612479525596e+001°)
1.04087840891725e+001	(-1.22108079622571e+001dB,7.31572292420353e+001°)
1.04111810762333e+001	(-1.22090483721477e+001dB,7.31532100692196e+001°)
1.04135786152842e+001	(-1.22072888628124e+001dB,7.31491904340795e+001°)
1.04159767064525e+001	(-1.22055294342693e+001dB,7.31451703365814e+001°)
1.04183753498653e+001	(-1.22037700865366e+001dB,7.31411497766920e+001°)
1.04207745456497e+001	(-1.22020108196324e+001dB,7.31371287543780e+001°)
1.04231742939329e+001	(-1.22002516335748e+001dB,7.31331072696061e+001°)
1.04255745948422e+001	(-1.21984925283820e+001dB,7.31290853223431e+001°)
1.04279754485049e+001	(-1.21967335040721e+001dB,7.31250629125555e+001°)
1.04303768550482e+001	(-1.21949745606632e+001dB,7.31210400402105e+001°)
1.04327788145995e+001	(-1.21932156981736e+001dB,7.31170167052745e+001°)
1.04351813272861e+001	(-1.21914569166213e+001dB,7.31129929077143e+001°)
1.04375843932354e+001	(-1.21896982160246e+001dB,7.31089686474970e+001°)
1.04399880125747e+001	(-1.21879395964015e+001dB,7.31049439245893e+001°)
1.04423921854316e+001	(-1.21861810577703e+001dB,7.31009187389579e+001°)
1.04447969119335e+001	(-1.21844226001489e+001dB,7.30968930905697e+001°)
1.04472021922079e+001	(-1.21826642235557e+001dB,7.30928669793919e+001°)
1.04496080263823e+001	(-1.21809059280088e+001dB,7.30888404053911e+001°)
1.04520144145842e+001	(-1.21791477135263e+001dB,7.30848133685345e+001°)
1.04544213569413e+001	(-1.21773895801264e+001dB,7.30807858687888e+001°)
1.04568288535812e+001	(-1.21756315278273e+001dB,7.30767579061211e+001°)
1.04592369046315e+001	(-1.21738735566470e+001dB,7.30727294804984e+001°)
1.04616455102199e+001	(-1.21721156666038e+001dB,7.30687005918876e+001°)
1.04640546704741e+001	(-1.21703578577158e+001dB,7.30646712402560e+001°)
1.04664643855218e+001	(-1.21686001300011e+001dB,7.30606414255703e+001°)
1.04688746554908e+001	(-1.21668424834781e+001dB,7.30566111477979e+001°)
1.04712854805088e+001	(-1.21650849181647e+001dB,7.30525804069056e+001°)
1.04736968607038e+001	(-1.21633274340792e+001dB,7.30485492028607e+001°)
1.04761087962035e+001	(-1.21615700312397e+001dB,7.30445175356304e+001°)
1.04785212871358e+001	(-1.21598127096645e+001dB,7.30404854051815e+001°)
1.04809343336286e+001	(-1.21580554693716e+001dB,7.30364528114816e+001°)
1.04833479358099e+001	(-1.21562983103792e+001dB,7.30324197544976e+001°)
1.04857620938076e+001	(-1.21545412327056e+001dB,7.30283862341967e+001°)
1.04881768077497e+001	(-1.21527842363688e+001dB,7.30243522505463e+001°)
1.04905920777643e+001	(-1.21510273213870e+001dB,7.30203178035135e+001°)
1.04930079039794e+001	(-1.21492704877786e+001dB,7.30162828930657e+001°)
1.04954242865231e+001	(-1.21475137355615e+001dB,7.30122475191700e+001°)
1.04978412255235e+001	(-1.21457570647539e+001dB,7.30082116817939e+001°)
