Freq.	V(vout)/V(vin)
1.26328110380737e+002	(-2.16823716290958e+000dB,3.97175529383671e+001°)
1.26473634747117e+002	(-2.16549902317329e+000dB,3.96777867390018e+001°)
1.26619326751096e+002	(-2.16276580872131e+000dB,3.96380497120836e+001°)
1.26765186585786e+002	(-2.16003751302685e+000dB,3.95983418635746e+001°)
1.26911214444521e+002	(-2.15731412956955e+000dB,3.95586631994155e+001°)
1.27057410520856e+002	(-2.15459565182274e+000dB,3.95190137254090e+001°)
1.27203775008571e+002	(-2.15188207326652e+000dB,3.94793934473450e+001°)
1.27350308101668e+002	(-2.14917338737990e+000dB,3.94398023709224e+001°)
1.27497009994373e+002	(-2.14646958764302e+000dB,3.94002405017705e+001°)
1.27643880881136e+002	(-2.14377066753402e+000dB,3.93607078454228e+001°)
1.27790920956630e+002	(-2.14107662053603e+000dB,3.93212044073773e+001°)
1.27938130415754e+002	(-2.13838744013194e+000dB,3.92817301930515e+001°)
1.28085509453630e+002	(-2.13570311980609e+000dB,3.92422852077960e+001°)
1.28233058265604e+002	(-2.13302365304158e+000dB,3.92028694568697e+001°)
1.28380777047249e+002	(-2.13034903332453e+000dB,3.91634829454798e+001°)
1.28528665994363e+002	(-2.12767925414234e+000dB,3.91241256787625e+001°)
1.28676725302969e+002	(-2.12501430898323e+000dB,3.90847976617848e+001°)
1.28824955169315e+002	(-2.12235419133416e+000dB,3.90454988995185e+001°)
1.28973355789877e+002	(-2.11969889468512e+000dB,3.90062293968809e+001°)
1.29121927361355e+002	(-2.11704841253108e+000dB,3.89669891587605e+001°)
1.29270670080678e+002	(-2.11440273836109e+000dB,3.89277781899023e+001°)
1.29419584145000e+002	(-2.11176186566964e+000dB,3.88885964950249e+001°)
1.29568669751704e+002	(-2.10912578795188e+000dB,3.88494440787690e+001°)
1.29717927098397e+002	(-2.10649449870616e+000dB,3.88103209457250e+001°)
1.29867356382918e+002	(-2.10386799142685e+000dB,3.87712271003622e+001°)
1.30016957803331e+002	(-2.10124625961383e+000dB,3.87321625471206e+001°)
1.30166731557928e+002	(-2.09862929676809e+000dB,3.86931272903660e+001°)
1.30316677845232e+002	(-2.09601709639206e+000dB,3.86541213343976e+001°)
1.30466796863991e+002	(-2.09340965198542e+000dB,3.86151446834042e+001°)
1.30617088813186e+002	(-2.09080695705705e+000dB,3.85761973415798e+001°)
1.30767553892024e+002	(-2.08820900511140e+000dB,3.85372793129908e+001°)
1.30918192299943e+002	(-2.08561578965620e+000dB,3.84983906016530e+001°)
1.31069004236610e+002	(-2.08302730419818e+000dB,3.84595312114881e+001°)
1.31219989901922e+002	(-2.08044354225042e+000dB,3.84207011463946e+001°)
1.31371149496008e+002	(-2.07786449732446e+000dB,3.83819004101722e+001°)
1.31522483219226e+002	(-2.07529016293373e+000dB,3.83431290065545e+001°)
1.31673991272164e+002	(-2.07272053259357e+000dB,3.83043869392099e+001°)
