Frequency (Hz),Trace th (*),Trace |Z| (Ohm)
354813.3892335755,-4.836898885560593,6304.818021950471
359749.3351557423,-6.617487165686399,6321.806678419785
364753.9469256078,-14.42138352307822,6051.820512223467
369828.1797802662,-9.570272747781978,5798.041325481353
374973.0022454835,-15.80643876327532,6694.628036145629
380189.3963205612,-7.353851137812427,6230.025577521367
385478.3576657718,-7.192291347244339,5458.096466848944
390840.895792402,-2.479669983341894,5711.234544671548
396278.0342554395,-11.27943620612305,5781.101080055631
401790.81084894,-5.052823764760287,6536.661997580681
407380.2778041128,-15.16135755668331,6417.852913754625
413047.5019901614,-18.75086005310686,6566.017487532286
418793.5651179184,-2.175658453154534,6099.441127037636
424619.5639463129,-13.6423944133304,5890.031187037723
430526.6104917107,-13.61892034874164,6660.134386800697
436515.832240166,-6.473957689611266,6852.384603516139
442588.3723626266,-8.653958385831853,7314.125196909869
448745.3899331322,-10.72121078926033,6628.514184570219
454988.0601500487,-18.01084770607703,5536.338930729657
461317.5745603795,-10.12471468559361,5702.846498676238
467735.1412871983,-12.88568361036938,6737.474454498572
474241.9852602447,-16.63145615661598,7221.01334945379
480839.3484497286,-11.71443555289752,6409.24587466015
487528.4901033865,-18.14084748599972,6608.658099918429
494310.6869868356,-2.476741536205226,6306.285389875334
501187.2336272725,7.059804489556197,5752.228254254861
508159.4425605607,-14.15108487950895,7349.556944253658
515228.6445817567,-15.10315300399847,5423.102861385361
522396.18899912,-57.03668365026837,12049.37901614915
529663.443891658,-12.8723908516083,5544.424175929778
537031.7963702529,-30.90700836190672,4923.899013180132
544502.6528424214,-11.01679054236565,6054.738580367023
552077.4392807576,-6.984361440978388,8014.418506375623
559757.6014951103,-4.358707762606687,5346.917034898941
567544.6054085473,-0.7319997885512327,6244.410762532003
575439.9373371572,-12.57117043409519,5080.026139319833
583445.104273745,2.252036957772851,7008.026488712399
591561.6341754742,-0.004741914223899639,5960.017362178862
599791.0762555096,-25.070172342265,7037.204368075989
608135.0012787181,-13.37859068571465,5455.842492006032
616595.0018614824,-34.09258703768616,5574.792169765465
625172.6927756862,-15.6022452116804,5104.232218522374
633869.7112569272,-5.625470465217647,5873.63452792557
642687.7173170199,-11.30512747397606,6084.182156040676
651628.3940608425,-19.48750053026951,5761.560096514942
660693.4480075957,-2.052212868683405,5815.50450231522
669884.6094165263,-2.820244362356624,5160.280357474671
679203.6326171843,-17.67968320423385,6390.756523199262
688652.2963442759,-8.278464385400897,6453.254439253094
698232.4040771712,-6.066072502380469,5884.15421146099
707945.7843841377,-17.02152516093817,6404.539757569865
717794.2912713615,-20.23454501455125,4854.550511505633
727779.8045368239,-22.77523471490571,5314.788056521713
737904.2301291007,-10.37634779473727,6116.189133756833
748169.5005111542,-9.518565186700787,6269.97483559352
758577.5750291836,-25.96369999580915,5342.521713580877
769130.4402866095,-15.19023711028383,6157.548452309298
779830.1105232586,-13.81580660367408,5514.976983927883
790678.6279998249,-25.42043911081902,6826.502780349899
801678.0633876791,-23.72297771715963,5080.103262064421
812830.5161640991,-15.11095876983686,6449.562166569138
824138.1150130022,-45.22113934288489,4979.498997835669
835603.0182312479,-25.45100360892652,5032.225662805537
847227.4141405963,-33.35853415087924,3924.626940634217
859013.5215053956,-16.26080027083353,5723.629198273494
870963.5899560805,-15.08047805332735,4681.553920659548
883079.9004185627,-12.95036822376314,7009.966135324618
895364.7655495937,-27.64625017764863,5968.328647676652
907820.5301781857,-17.52356341234663,4709.054117483653
920449.5717531712,-19.74290310468239,6555.988965584088
933254.300796991,-51.15178479816019,4814.952990353631
946237.161365793,-2.480939360990803,4847.998099933425
959400.6315159331,-18.80845508319283,9036.594583791275
972747.2237769651,-1.983076428051177,5045.636926138059
986279.4856312105,-26.93702593006878,6489.000534663316
1000000,-38.41431269053816,3799.223918106909
