Freq.	V(vout)/I(I1)
1.49623565609447e+003	(7.51836777322333e+001dB,2.55288964958589e+001°)
1.49795925304491e+003	(7.51855352762145e+001dB,2.55032257738193e+001°)
1.49968483550241e+003	(7.51873893400604e+001dB,2.54775735987805e+001°)
1.50141240575417e+003	(7.51892399288088e+001dB,2.54519399777966e+001°)
1.50314196609006e+003	(7.51910870474963e+001dB,2.54263249178568e+001°)
1.50487351880255e+003	(7.51929307011580e+001dB,2.54007284258860e+001°)
1.50660706618678e+003	(7.51947708948261e+001dB,2.53751505087448e+001°)
1.50834261054051e+003	(7.51966076335324e+001dB,2.53495911732294e+001°)
1.51008015416418e+003	(7.51984409223059e+001dB,2.53240504260718e+001°)
1.51181969936085e+003	(7.52002707661739e+001dB,2.52985282739402e+001°)
1.51356124843624e+003	(7.52020971701623e+001dB,2.52730247234385e+001°)
1.51530480369874e+003	(7.52039201392944e+001dB,2.52475397811071e+001°)
1.51705036745937e+003	(7.52057396785926e+001dB,2.52220734534225e+001°)
1.51879794203185e+003	(7.52075557930761e+001dB,2.51966257467976e+001°)
1.52054752973253e+003	(7.52093684877631e+001dB,2.51711966675816e+001°)
1.52229913288045e+003	(7.52111777676693e+001dB,2.51457862220608e+001°)
