Frequency (Hz),Trace th (*),Trace |Z| (Ohm)
10327.61405761399,-66.75614313432375,3844.860792177562
10471.28548050901,-66.99564017819543,3799.837981977945
10616.95557198726,-67.25166282673212,3755.796794720541
10764.65213629836,-67.4792170307236,3710.65979032932
10914.40336448757,-67.72345553297905,3666.452341950575
11066.23783977667,-67.9780972706556,3623.115224645317
11220.18454301964,-68.20634633516541,3579.509731225048
11376.27285823432,-68.42429340111218,3535.968030904799
11534.53257821093,-68.6792395788711,3493.519172264517
11694.99391019872,-68.89561628700477,3451.56850035365
11857.68748167161,-69.13202820978481,3410.581879489399
12022.64434617414,-69.32431002492055,3367.924036695274
12189.89598924867,-69.55643906824078,3327.06600024721
12359.47433444511,-69.77453737131093,3286.934646830764
12531.41174941417,-69.99319531999305,3245.49365115617
12705.74105208543,-70.20071207787453,3204.353257885534
12882.49551693135,-70.40366946505537,3166.222522033588
13061.70888131842,-70.60726629697805,3127.206388143083
13243.41535194666,-70.80975032239111,3088.332906750428
13427.64961137865,-71.01268936123905,3048.764741649913
13614.44682465951,-71.19732611965594,3011.476263012414
13803.84264602886,-71.40089909560625,2974.067521885164
13995.87322572619,-71.5618638076693,2936.317956606941
14190.57521689093,-71.77004754126052,2899.307928082864
14387.98578255847,-71.96843931315563,2863.561345919365
14588.1426027535,-72.13899376780303,2827.157117015104
14791.08388168209,-72.31180938138674,2791.713818577528
14996.84835502375,-72.49134041163494,2756.225906837337
15205.47529732497,-72.67585160082832,2721.918089485514
15417.00452949561,-72.84075992062843,2687.039950006546
15631.47642640956,-72.99748635210715,2651.435091442167
15848.93192461115,-73.17131681784805,2618.453304524427
16069.41253012879,-73.33150634924189,2585.018614742835
16292.96032639724,-73.50306140036177,2552.41737938162
16519.61798229016,-73.66486629875105,2519.355473393565
16749.42876026437,-73.82040150079771,2486.251784313583
16982.43652461744,-73.96360318926297,2454.604909689317
17218.68574986007,-74.09973282372778,2422.520773194335
17458.22152920504,-74.24608308760543,2391.926514998836
17701.08958317421,-74.39301659966608,2361.585482212698
17947.33626832527,-74.53878487182595,2330.907063368682
18197.00858609984,-74.68662030562844,2300.368730450471
18450.15419179474,-74.83771581104791,2270.15308458884
18706.82140365801,-74.97319399534693,2240.571100642109
18967.05921211146,-75.10528655462714,2211.886114534402
19230.91728910159,-75.21821805724647,2182.701074416537
19498.44599758046,-75.3491795251114,2154.672003019758
19769.69640111861,-75.48773029693007,2126.779708154244
20044.72027365162,-75.60281719978221,2098.621009879364
20323.57010936222,-75.73228297606276,2070.890984904805
20606.29913270001,-75.84971949125541,2044.192514640829
20892.96130854039,-75.97319922961672,2017.534519756988
21183.61135248502,-76.07681043965162,1991.060072516058
21478.30474130534,-76.15957424450157,1965.000255073483
21777.09772353159,-76.2907640695082,1938.267498301108
