req.	V(Vout)/V(n002)
1.38675582887191e+002	(-1.12209499928801e+000dB,2.72782005335101e+001°)
1.38835330992907e+002	(-1.11999641503483e+000dB,2.72513394223273e+001°)
1.38995263121338e+002	(-1.11790164632814e+000dB,2.72244962621979e+001°)
1.39155379484470e+002	(-1.11581068806644e+000dB,2.71976710646772e+001°)
1.39315680294533e+002	(-1.11372353514840e+000dB,2.71708638412497e+001°)
1.39476165764002e+002	(-1.11164018247293e+000dB,2.71440746033294e+001°)
1.39636836105596e+002	(-1.10956062493922e+000dB,2.71173033622596e+001°)
1.39797691532280e+002	(-1.10748485744632e+000dB,2.70905501293130e+001°)
1.39958732257264e+002	(-1.10541287489404e+000dB,2.70638149156920e+001°)
1.40119958494003e+002	(-1.10334467218208e+000dB,2.70370977325287e+001°)
1.40281370456198e+002	(-1.10128024421058e+000dB,2.70103985908849e+001°)
1.40442968357797e+002	(-1.09921958587985e+000dB,2.69837175017521e+001°)
1.40604752412994e+002	(-1.09716269209092e+000dB,2.69570544760518e+001°)
1.40766722836229e+002	(-1.09510955774487e+000dB,2.69304095246356e+001°)
1.40928879842190e+002	(-1.09306017774330e+000dB,2.69037826582851e+001°)
1.41091223645812e+002	(-1.09101454698824e+000dB,2.68771738877120e+001°)
1.41253754462278e+002	(-1.08897266038211e+000dB,2.68505832235583e+001°)
1.41416472507018e+002	(-1.08693451282797e+000dB,2.68240106763964e+001°)
1.41579377995711e+002	(-1.08490009922924e+000dB,2.67974562567291e+001°)
1.41742471144283e+002	(-1.08286941448983e+000dB,2.67709199749897e+001°)
1.41905752168912e+002	(-1.08084245351454e+000dB,2.67444018415420e+001°)
1.42069221286021e+002	(-1.07881921120837e+000dB,2.67179018666807e+001°)
1.42232878712285e+002	(-1.07679968247711e+000dB,2.66914200606311e+001°)
1.42396724664627e+002	(-1.07478386222719e+000dB,2.66649564335495e+001°)
1.42560759360221e+002	(-1.07277174536559e+000dB,2.66385109955230e+001°)
1.42724983016492e+002	(-1.07076332680016e+000dB,2.66120837565699e+001°)
1.42889395851113e+002	(-1.06875860143938e+000dB,2.65856747266396e+001°)
1.43053998082009e+002	(-1.06675756419235e+000dB,2.65592839156126e+001°)
1.43218789927357e+002	(-1.06476020996909e+000dB,2.65329113333008e+001°)
1.43383771605584e+002	(-1.06276653368036e+000dB,2.65065569894477e+001°)
1.43548943335368e+002	(-1.06077653023770e+000dB,2.64802208937280e+001°)
1.43714305335642e+002	(-1.05879019455350e+000dB,2.64539030557481e+001°)
1.43879857825587e+002	(-1.05680752154103e+000dB,2.64276034850462e+001°)
1.44045601024640e+002	(-1.05482850611436e+000dB,2.64013221910921e+001°)
