Freq.	-I(Rl)/I(I1)
1.26473634747117e+002	(-5.99141124352430e+000dB,-1.00031485224377e+002°)
1.26619326751096e+002	(-5.98171492829918e+000dB,-1.00042806029051e+002°)
1.26765186585786e+002	(-5.97201929183234e+000dB,-1.00054139081499e+002°)
1.26911214444521e+002	(-5.96232433559316e+000dB,-1.00065484393197e+002°)
1.27057410520856e+002	(-5.95263006105384e+000dB,-1.00076841975626e+002°)
1.27203775008571e+002	(-5.94293646968977e+000dB,-1.00088211840270e+002°)
1.27350308101668e+002	(-5.93324356297940e+000dB,-1.00099593998621e+002°)
1.27497009994373e+002	(-5.92355134240337e+000dB,-1.00110988462171e+002°)
1.27643880881136e+002	(-5.91385980944633e+000dB,-1.00122395242422e+002°)
1.27790920956630e+002	(-5.90416896559562e+000dB,-1.00133814350875e+002°)
1.27938130415754e+002	(-5.89447881234132e+000dB,-1.00145245799041e+002°)
1.28085509453630e+002	(-5.88478935117653e+000dB,-1.00156689598431e+002°)
1.28233058265604e+002	(-5.87510058359795e+000dB,-1.00168145760564e+002°)
1.28380777047249e+002	(-5.86541251110405e+000dB,-1.00179614296962e+002°)
1.28528665994363e+002	(-5.85572513519761e+000dB,-1.00191095219151e+002°)
1.28676725302969e+002	(-5.84603845738395e+000dB,-1.00202588538663e+002°)
1.28824955169315e+002	(-5.83635247917140e+000dB,-1.00214094267033e+002°)
1.28973355789877e+002	(-5.82666720207093e+000dB,-1.00225612415802e+002°)
1.29121927361355e+002	(-5.81698262759734e+000dB,-1.00237142996513e+002°)
1.29270670080678e+002	(-5.80729875726779e+000dB,-1.00248686020717e+002°)
1.29419584145000e+002	(-5.79761559260330e+000dB,-1.00260241499965e+002°)
1.29568669751704e+002	(-5.78793313512636e+000dB,-1.00271809445817e+002°)
1.29717927098397e+002	(-5.77825138636446e+000dB,-1.00283389869833e+002°)
1.29867356382918e+002	(-5.76857034784726e+000dB,-1.00294982783581e+002°)
1.30016957803331e+002	(-5.75889002110690e+000dB,-1.00306588198631e+002°)
1.30166731557928e+002	(-5.74921040767929e+000dB,-1.00318206126558e+002°)
1.30316677845232e+002	(-5.73953150910373e+000dB,-1.00329836578942e+002°)
1.30466796863991e+002	(-5.72985332692204e+000dB,-1.00341479567365e+002°)
1.30617088813186e+002	(-5.72017586267903e+000dB,-1.00353135103415e+002°)
1.30767553892024e+002	(-5.71049911792305e+000dB,-1.00364803198685e+002°)
1.30918192299943e+002	(-5.70082309420524e+000dB,-1.00376483864770e+002°)
1.31069004236610e+002	(-5.69114779308006e+000dB,-1.00388177113271e+002°)
1.31219989901922e+002	(-5.68147321610491e+000dB,-1.00399882955791e+002°)
1.31371149496008e+002	(-5.67179936484035e+000dB,-1.00411601403940e+002°)
1.31522483219226e+002	(-5.66212624085001e+000dB,-1.00423332469328e+002°)
1.31673991272164e+002	(-5.65245384570080e+000dB,-1.00435076163574e+002°)
1.31825673855643e+002	(-5.64278218096261e+000dB,-1.00446832498298e+002°)
1.31977531170714e+002	(-5.63311124820852e+000dB,-1.00458601485123e+002°)
1.32129563418659e+002	(-5.62344104901491e+000dB,-1.00470383135680e+002°)
1.32281770800995e+002	(-5.61377158496091e+000dB,-1.00482177461599e+002°)
1.32434153519468e+002	(-5.60410285762908e+000dB,-1.00493984474517e+002°)
1.32586711776058e+002	(-5.59443486860544e+000dB,-1.00505804186075e+002°)
1.32739445772976e+002	(-5.58476761947858e+000dB,-1.00517636607918e+002°)
1.32892355712668e+002	(-5.57510111184029e+000dB,-1.00529481751691e+002°)
1.33045441797811e+002	(-5.56543534728599e+000dB,-1.00541339629049e+002°)
1.33198704231318e+002	(-5.55577032741416e+000dB,-1.00553210251646e+002°)
1.33352143216334e+002	(-5.54610605382615e+000dB,-1.00565093631142e+002°)
1.33505758956239e+002	(-5.53644252812642e+000dB,-1.00576989779200e+002°)
1.33659551654646e+002	(-5.52677975192340e+000dB,-1.00588898707487e+002°)
1.33813521515404e+002	(-5.51711772682779e+000dB,-1.00600820427673e+002°)
1.33967668742596e+002	(-5.50745645445437e+000dB,-1.00612754951433e+002°)
1.34121993540539e+002	(-5.49779593642015e+000dB,-1.00624702290445e+002°)
1.34276496113788e+002	(-5.48813617434630e+000dB,-1.00636662456391e+002°)
1.34431176667133e+002	(-5.47847716985664e+000dB,-1.00648635460956e+002°)
1.34586035405597e+002	(-5.46881892457805e+000dB,-1.00660621315828e+002°)
1.34741072534443e+002	(-5.45916144014138e+000dB,-1.00672620032699e+002°)
1.34896288259167e+002	(-5.44950471817994e+000dB,-1.00684631623267e+002°)
1.35051682785506e+002	(-5.43984876033085e+000dB,-1.00696656099230e+002°)
1.35207256319430e+002	(-5.43019356823379e+000dB,-1.00708693472291e+002°)
1.35363009067148e+002	(-5.42053914353290e+000dB,-1.00720743754156e+002°)
1.35518941235106e+002	(-5.41088548787423e+000dB,-1.00732806956535e+002°)
1.35675053029988e+002	(-5.40123260290792e+000dB,-1.00744883091142e+002°)
1.35831344658718e+002	(-5.39158049028678e+000dB,-1.00756972169693e+002°)
1.35987816328454e+002	(-5.38192915166787e+000dB,-1.00769074203907e+002°)
1.36144468246597e+002	(-5.37227858871022e+000dB,-1.00781189205508e+002°)
1.36301300620785e+002	(-5.36262880307720e+000dB,-1.00793317186222e+002°)
1.36458313658895e+002	(-5.35297979643513e+000dB,-1.00805458157780e+002°)
1.36615507569043e+002	(-5.34333157045328e+000dB,-1.00817612131913e+002°)
1.36772882559587e+002	(-5.33368412680494e+000dB,-1.00829779120359e+002°)
1.36930438839123e+002	(-5.32403746716584e+000dB,-1.00841959134857e+002°)
1.37088176616488e+002	(-5.31439159321568e+000dB,-1.00854152187148e+002°)
1.37246096100758e+002	(-5.30474650663697e+000dB,-1.00866358288980e+002°)
1.37404197501254e+002	(-5.29510220911620e+000dB,-1.00878577452101e+002°)
1.37562481027533e+002	(-5.28545870234253e+000dB,-1.00890809688262e+002°)
1.37720946889397e+002	(-5.27581598800903e+000dB,-1.00903055009218e+002°)
1.37879595296888e+002	(-5.26617406781134e+000dB,-1.00915313426728e+002°)
1.38038426460291e+002	(-5.25653294344943e+000dB,-1.00927584952552e+002°)
1.38197440590132e+002	(-5.24689261662545e+000dB,-1.00939869598455e+002°)
1.38356637897180e+002	(-5.23725308904595e+000dB,-1.00952167376202e+002°)
1.38516018592449e+002	(-5.22761436242019e+000dB,-1.00964478297565e+002°)
1.38675582887191e+002	(-5.21797643846123e+000dB,-1.00976802374314e+002°)
1.38835330992907e+002	(-5.20833931888521e+000dB,-1.00989139618227e+002°)
1.38995263121338e+002	(-5.19870300541137e+000dB,-1.01001490041080e+002°)
1.39155379484470e+002	(-5.18906749976308e+000dB,-1.01013853654656e+002°)
1.39315680294533e+002	(-5.17943280366657e+000dB,-1.01026230470738e+002°)
1.39476165764002e+002	(-5.16979891885124e+000dB,-1.01038620501113e+002°)
1.39636836105596e+002	(-5.16016584705077e+000dB,-1.01051023757569e+002°)
1.39797691532280e+002	(-5.15053359000121e+000dB,-1.01063440251899e+002°)
1.39958732257264e+002	(-5.14090214944238e+000dB,-1.01075869995898e+002°)
1.40119958494003e+002	(-5.13127152711825e+000dB,-1.01088313001362e+002°)
1.40281370456198e+002	(-5.12164172477506e+000dB,-1.01100769280092e+002°)
1.40442968357797e+002	(-5.11201274416288e+000dB,-1.01113238843889e+002°)
1.40604752412994e+002	(-5.10238458703551e+000dB,-1.01125721704560e+002°)
1.40766722836229e+002	(-5.09275725514987e+000dB,-1.01138217873910e+002°)
1.40928879842190e+002	(-5.08313075026618e+000dB,-1.01150727363751e+002°)
1.41091223645812e+002	(-5.07350507414902e+000dB,-1.01163250185894e+002°)
1.41253754462278e+002	(-5.06388022856486e+000dB,-1.01175786352154e+002°)
1.41416472507018e+002	(-5.05425621528467e+000dB,-1.01188335874348e+002°)
1.41579377995711e+002	(-5.04463303608332e+000dB,-1.01200898764296e+002°)
1.41742471144283e+002	(-5.03501069273768e+000dB,-1.01213475033819e+002°)
1.41905752168912e+002	(-5.02538918702937e+000dB,-1.01226064694741e+002°)
1.42069221286021e+002	(-5.01576852074301e+000dB,-1.01238667758889e+002°)
1.42232878712285e+002	(-5.00614869566648e+000dB,-1.01251284238091e+002°)
1.42396724664627e+002	(-4.99652971359146e+000dB,-1.01263914144178e+002°)
1.42560759360221e+002	(-4.98691157631321e+000dB,-1.01276557488983e+002°)
1.42724983016492e+002	(-4.97729428562965e+000dB,-1.01289214284341e+002°)
1.42889395851113e+002	(-4.96767784334369e+000dB,-1.01301884542089e+002°)
1.43053998082009e+002	(-4.95806225126054e+000dB,-1.01314568274065e+002°)
1.43218789927357e+002	(-4.94844751118937e+000dB,-1.01327265492112e+002°)
1.43383771605584e+002	(-4.93883362494257e+000dB,-1.01339976208073e+002°)
1.43548943335368e+002	(-4.92922059433630e+000dB,-1.01352700433792e+002°)
1.43714305335642e+002	(-4.91960842119008e+000dB,-1.01365438181117e+002°)
1.43879857825587e+002	(-4.90999710732743e+000dB,-1.01378189461897e+002°)
